ELECTRIC SYSTEM NII,THERMAL UNITS INSTALLED CAPACITY 2021,MAX ANNUAL PEAK DEMAND 2021,RES UNITS ENERGY GENERATION (MWh),THERMAL UNITS ENERGY GENERATION (MWh),ATC_NII (€/MWh),AVC_NII (€/MWh),SHARE OF ELECTRICITY PRODUCTION FROM RES (%)
RODOS,326.96,237.47,11083.99,47345.79,248.81,149.17,18.97
LESVOS,102.6,68.36,4998.89,24100.94,190.95,154.74,17.18
KOS-KALIMNOS,143.74,106.08,5229.73,23552.49,183.96,137.16,18.17
LIMNOS,26.15,16.3,822.64,4880.94,209.8,143.16,14.42
MILOS,21.7,14.52,602.8,3652.25,185.1,141.04,14.17
CHIOS,77.78,51.9,3406.11,17682.54,168.9,132.94,16.15
SAMOS,49.63,33.1,2693.04,10500.26,192.11,144.09,20.41
KARPATHOS,19.05,12.45,527.66,2697.05,249.28,162.57,16.36
AGIOS EFSTRATIOS,0.84,0.35,0.0,102.2,429.36,283.3,0.0
AGATHONISI,0.64,0.24,0.0,80.06,719.18,324.19,0.0
AMORGOS,6.2,3.5,17.45,780.33,503.03,290.26,2.19
ANAFI,1.15,0.64,0.0,94.98,419.15,270.19,0.0
ANTIKITHIRA,0.41,0.1,0.0,30.01,869.59,424.85,0.0
ARKOI,0.41,0.16,0.0,21.64,1298.68,352.13,0.0
ASTYPALAIA,5.1,2.59,27.12,522.47,435.84,275.88,4.94
GAVDOS,0.43,0.18,0.0,53.39,660.51,315.96,0.0
DONOUSA,0.99,0.46,0.0,57.17,1366.07,439.94,0.0
EREIKOUSA,0.77,0.53,0.0,57.49,822.34,354.78,0.0
THIRA,80.19,58.35,51.04,11819.04,206.46,152.12,0.43
IKARIA,20.02,9.6,1030.01,1738.36,518.14,250.25,37.21
KYTHNOS,7.2,4.34,18.65,805.33,425.72,271.87,2.26
MEGISTI,2.22,1.19,0.0,312.88,400.38,265.05,0.0
OTHONON,0.66,0.29,0.0,65.16,642.54,334.36,0.0
PATMOS,8.93,6.14,316.94,1393.96,407.87,298.76,18.52
SERIFOS,7.97,4.14,8.51,676.67,350.19,240.37,1.24
SIFNOS,11.48,7.5,237.68,1224.23,621.04,288.83,16.26
SKYROS,7.65,4.86,22.26,1376.56,358.03,253.58,1.59
SIMI,9.88,4.06,11.55,1153.31,360.93,257.36,0.99
